ESTIMATE NO,VEHICLE,AMOUNT,Order
1048,GJ06G-6463,3350,
1050,GJ06G-6492,3720,
1051,GJ06G-6460,3720,
1052,GJ06GA-3471,3720,
1053,GJ06G-6528,3350,
1054,GJ06G-6414,3350,
1055,GJ06G-6496,3350,
1056,GJ06G-6593,3820,
1057,GJ06G-6618,3820,
1058,"GJ06G-6497, GJ06GA-3264",3398,
1060,"GJ06GA-3471, GJ06G-6525",4720,
1061,"GJ06GA-3400, GJ06G-6574",4120,
1062,GJ06G-6459,4960,
1065,GJ06GA,3260,
1067,GJ06G-6748,3350,
1068,GJ06G-6795,3720,
1069,GJ06GA-3008,3820,
1070,GJ06GA-3407,3820,
1071,GJ06G-6407,3820,
1072,GJ06G-6766,3350,
1073,GJ06G-6548,3350,
1074,"GJ06GA-2518, GJ06G-6407",4900,
1075,GJ06GA-3584,3240,
1078,"GJ06GA-3499, GJ06G-0372",3720,
1079,GJ06G-6445,4560,
1080,GJ06G-6554,4560,
1081,GJ06G-3894,3260,
1082,GJ06GA-3671,3260,
1083,"GJ06GA-3801, GJ06G-6726",3430,
1084,GJ06G-6767,3280,
1086,GJ06GA-0148,3080,
1087,"GJ06G-6411, GJ06G-6445",4750,
1088,GJ06GA-3873,3520,
1090,GJ06G-6448,4180,
1091,GJ06G-6450,4420,
1092,GJ06G-1723,3290,
1093,GJ06GA-6766,3280,
1094,GJ06GA-3802,3350,
1095,GJ06GA-3584,3720,
1096,GJ06GA-3501,3720,
1100,"GJ06G-6837, GJ06G-6621",4950,
1101,GJ06G-6485,1980,
1102,"GJ06G-6626, GJ06G-6677",4520,511
1103,GJ06GA-3823,3260,
1104,GJ06GA-3155,3260,509
1105,GJ06GA-3894,3260,690
1108,"GJ06GA-3498, GJ06G-6529, GJ06G-3839",4130,
1109,GJ06G-6414,1860,
1110,GJ06GA-2546,1420,498
1113,GJ06G-6475,1860,
1118,"GJ06G-6526, GJ06GA-3471, GJ06GA-3008",4070,
1123,GJ06GA-3681,3260,
1124,GJ06GA-3717,3260,
1125,GJ06GA-3601,3260,
1130,GJ06GA-3568,3260,
1131,GJ06GA-3064,3260,
1134,GJ06GA-2547,4980,
1138,GJ06G-6527,2640,
1140,GJ06GA-3499,1320,451
1141,GJ06G-6455,2780,
1142,GJ06G-6454,2780,
1143,GJ06G-6454,4980,587
1144,GJ06G-6450,3880,590
1145,GJ06G-6445,4980,
1149,GJ06G-6776,1940,466
1150,GJ06G-1723,1270,485
1156,GJ06G-6452,1940,518
1157,GJ06GA-2518,3880,576
1158,GJ06G-6459,1940,572
1160,GJ06GA-3681,3260,515
1161,GJ06GA-3739,3260,563
1163,"GJ06G-6497, GJ06G-6452",4680,
1166,GJ06GA-3585,3260,
1167,"GJ06G-6526, GJ06G-6548",4890,
1169,GJ06GA-3905,3260,
1170,GJ06GA-3905,3260,
1171,GJ06GA-3407,3260,
1172,GJ06GA-3671,3260,
1173,GJ06G-6521,4550,
1174,"GJ06G-6746, GJ06G-6447",3170,
1175,Air Compressor Machine,4990,
1176,GJ06GA-3008,4060,
1177,GJ06GA-3739,3260,
1178,GJ06GA-3155,3260,
1179,GJ06GA-3471,3260,
1180,GJ06G-6451,4480,
1181,GJ06G-6555,4560,
1183,GJ06G-6497,4560,
1184,GJ06GA-3568,3260,
1185,GJ06GA-3202,3260,
1187,GJ06GA-4500,4260,
1189,GJ06G-6433,3970,
1194,GJ06GA-3498,3260,
1195,GJ06GA-3802,1940,
1197,GJ06G-6795,1940,624
1198,GJ06GA-2547,1940,
1199,GJ06G-6465,1940,
1203,GJ06GA-3801,3260,
1204,GJ06GA-3584,3260,
1206,GJ06GA-3400,1940,
1207,GJ06GA-2852,1720,
1209,GJ06G-6492,3040,
1210,GJ06G-6492,3040,
1214,GJ06GA-3585,3260,
1215,GJ06GA-3823,3260,
1216,GJ06G-6776,3920,
1217,GJ06G-6776,1390,
1222,GJ06G-6626,3880,
1223,GJ06G-6626,1240,
1224,GJ06G-6796,4950,
1225,GJ06G-6447,1860,
1226,GJ06G-6555,3240,
1227,GJ06G-6555,1800,
1228,GJ06GA-3499,3260,
1229,GJ06GA-3407,3260,
1230,GJ06G-6837,1120,
1231,GJ06G-6459,1940,
1232,GJ06G-1591,1900,
1233,GJ06G-6448,1600,
1234,GJ06G-6525,1820,
1235,"GJ06G-6528, GJ06G-6748",4850,
1237,"GJ06G-6459, GJ06G-6626",4820,
1238,GJ06GA-3823,3260,
1239,GJ06GA-3739,3260,
1240,"GJ06GA-3499, GJ06GA-2581, GJ06GA-3671",4970,
1241,"GJ06G-6497, GJ06GA-3400",4270,
1244,"GJ06GA-3248, GJ06G-6463",4900,
1246,GJ06G-6772,4950,
1247,GJ06G-6791,4950,
1248,"GJ06G-6791, GJ06G-6481",1860,629
1249,GJ06G-6621,1940,637
1250,GJ06G-6621,1940,682
1251,GJ06G-6481,1860,695
1252,GJ06GA-3601,3260,
1253,GJ06GA-3471,3260,
1254,GJ06G-6463,3240,
1255,"GJ06G-6463, GJ06G-2122",1850,
1256,GJ06G-6554,1520,
1257,"GJ06G-2122, GJ06GA-3064, GJ06GA-6526",1930,
1259,GJ06G-6408,1940,
1261,GJ06G-6526,1960,
1262,GJ06GA-0354,1940,
1263,GJ06GA-0354,1940,
1264,GJ06G-6529,1640,
1265,GJ06G-6529,1860,782
1267,GJ06GA-3400,3260,
1269,"GJ06GA-2852, GJ06GA-2974",1850,
1270,"GJ06G-3993, GJ06G-3916, GJ06G-3975, GJ06G-3682",4640,
1271,GJ06GA-3839,3260,
1272,GJ06GA-3568,3260,
1274,GJ06GA-3802,3260,
1275,GJ06GA-3671,3260,
1276,GJ06GA-3800,3260,
1277,"GJ06GA-2518, GJ06G-6448",4200,
1278,"GJ06GA-2978, GJ06G-6626",4300,
1279,"GJ06G-6555, GJ06GA-3212",1930,
1281,"GJ06GA-3717, GJ06GA-0354",1670,
1283,GJ06GA-0354,4300,
1284,GJ06GA-3801,3260,
1285,GJ06GA-3584,3260,
1286,GJ06GA-3717,3260,
1287,"GJ06G-6526, GJ06GA-3234",4700,
1288,"GJ06G-6526, GJ06G-6450",1980,
1289,GJ06G-6450,1520,
1290,GJ06GA-3585,3260,
1291,GJ06GA-3498,3260,
1292,GJ06GA-3234,3240,
1294,GJ06G-6677,1720,771
1296,GJ06G-2032,1890,779
1297,GJ06GA-2749,3880,
1298,"GJ06GA-3471, GJ06GA-3234",4730,
1301,"GJ06GA-3234, GJ06G-6777",4740,
1303,GJ06G-6677,1940,
1304,"GJ06G-6677, GJ06G-6798, GJ06GA-3008",4885,
1308,GJ06GA-3499,4510,
1309,"GJ06GA-3499, GJ06G-2518",4860,
1310,"GJ06GA-3618, GJ06GA-3520",4170,
1311,"GJ06G-1150, GJ06GA-3520",4250,
1312,GJ06GA-2749,4960,
1313,"GJ06GA-2749, GJ06GA-3585",4500,
1314,GJ06G-2518,1940,
1315,"GJ06G-6626, GJ06GA-2747, GJ06G-6768, GJ06GA-3739",4230,
1318,GJ06G-6493,3440,
1,"GJ06GA-2518, GJ06G-6794",1710,
4,GJ06GA-2749,4320,
5,GJ06GA-2749,4320,
6,"GJ06G-6747, GJ06G-6460",1880,
8,GJ06G-6460,1785,
10,"GJ06GA-3739, GJ06GA-2978",4105,
11,"GJ06G-6769, GJ06GA-3582",4240,
12,GJ06G-6769,1708,
13,"GJ06G-6846, GJ06GA-3525, GJ06G-6529",4960,
14,GJ06GA-0354,1980,
15,GJ06G-6461,1980,
16,GJ06G-6447,1520,
17,"GJ06G-6447, GJ06GA-3407, GJ06GA-3584",1790,
